" | Posted by ", " | Posted by "
"(example 5,10,15,...)", "(example 5,10,15,...)"
"* Required Fields", "* Required Fields"
"1 star", "1 star"
"2 stars", "2 stars"
"3 stars", "3 stars"
"4 stars", "4 stars"
"5 stars", "5 stars"
"Action", "Action"
"Add Category", "Add Category"
"Add New Tag", "Add New Tag"
"Add News", "Add News"
"Add categories under CMS Pro - Manage Categories.", "Add categories under CMS Pro - Manage Categories."
"Additional Information", "Additional Information"
"Admin Thumb Size (w-h)px", "Admin Thumb Size (w-h)px"
"All Tags", "All Tags"
"Author Information", "Author Information"
"Author name", "Author name"
"Author", "Author"
"Auto Collapse / Expand", "Auto Collapse / Expand"
"Block Information", "Block Information"
"Both case", "Both case"
"CMS Pro", "CMS Pro"
"Categories", "Categories"
"Category Information", "Category Information"
"Category Level", "Category Level"
"Category Menu Settings", "Category Menu Settings"
"Category Name", "Category Name"
"Category Suffix", "Category Suffix"
"Choose color (Scroll over vertical bar, then move circle to desired color in left hand box, save setting with ball in lower right corner)", "Choose color (Scroll over vertical bar, then move circle to desired color in left hand box, save setting with ball in lower right corner)"
"Cms Pro", "Cms Pro"
"Comment Information", "Comment Information"
"Comment information", "Comment information"
"Comment", "Comment"
"Configurations", "Configurations"
"Content", "Content"
"Content/Tags", "Content/Tags"
"Created Date", "Created Date"
"Created Time", "Created Time"
"Custom Design From", "Custom Design From"
"Custom Design To", "Custom Design To"
"Custom Design", "Custom Design"
"Custom Layout Update XML", "Custom Layout Update XML"
"Custom Layout", "Custom Layout"
"Custom Theme", "Custom Theme"
"Default No. Select Yes only if no other extension overriding top menu to avoid conflict.", "Default No. Select Yes only if no other extension overriding top menu to avoid conflict."
"Default: 5", "Default: 5"
"Default: 60-60", "Default: 60-60"
"Default:.html", "Default:.html"
"Default:100-100", "Default:100-100"
"Default:128-128", "Default:128-128"
"Delete Image", "Delete Image"
"Delete Tag", "Delete Tag"
"Description", "Description"
"Design Setting", "Design Setting"
"Design", "Design"
"Display previously saved version of article/blog", "Display previously saved version of article/blog"
"Duplicate", "Duplicate"
"Edit Category'%s'", "Edit Category'%s'"
"Edit Item '%s'", "Edit Item '%s'"
"Edit News '%s'", "Edit News '%s'"
"Edit Tag '%s'", "Edit Tag '%s'"
"Edit", "Edit"
"Email", "Email"
"Enable Comments", "Enable Comments"
"Enable Latest News Block", "Enable Latest News Block"
"Enable News Searching Box", "Enable News Searching Box"
"Enable Related News Block", "Enable Related News Block"
"Enable Related Products Block", "Enable Related Products Block"
"Enable Top Menu", "Enable Top Menu"
"Enable news comment", "Enable news comment"
"Enable, save and reindex categories on first page after adding new category", "Enable, save and reindex categories on first page after adding new category"
"Enter your keyword", "Enter your keyword"
"Enter your keyword:", "Enter your keyword:"
"Featured News", "Featured News"
"Full Name", "Full Name"
"Fullname", "Fullname"
"General Information", "General Information"
"General information", "General information"
"General", "General"
"Get Feed", "Get Feed"
"Go", "Go"
"Groups Restriction", "Groups Restriction"
"Guest Only", "Guest Only"
"How do you rate this product?", "How do you rate this product?"
"ID", "ID"
"Image", "Image"
"Images", "Images"
"Is Active", "Is Active"
"Item was successfully deleted", "Item was successfully deleted"
"Items %s to %s of %s total", "Items %s to %s of %s total"
"Latest News Thumb Size (w-h)px", "Latest News Thumb Size (w-h)px"
"Latest News", "Latest News"
"Layout Update XML", "Layout Update XML"
"Layout", "Layout"
"Leave your comment", "Leave your comment"
"Left Menu", "Left Menu"
"Level 1", "Level 1"
"Level 2", "Level 2"
"Level 3", "Level 3"
"Level 4", "Level 4"
"Level 5", "Level 5"
"Level", "Level"
"Load previous revision", "Load previous revision"
"Logged in Only", "Logged in Only"
"Manage Categories", "Manage Categories"
"Manage Comments", "Manage Comments"
"Manage News", "Manage News"
"Manage Tags", "Manage Tags"
"Maximum # of category levels", "Maximum # of category levels"
"May take a few minutes to refresh", "May take a few minutes to refresh"
"Menu Tab title", "Menu Tab title"
"Meta Description of index page", "Meta Description of index page"
"Meta Description", "Meta Description"
"Meta Information", "Meta Information"
"Meta Keyword of index page", "Meta Keyword of index page"
"Meta Keyword", "Meta Keyword"
"Meta information", "Meta information"
"Name", "Name"
"New Tag", "New Tag"
"Newer News", "Newer News"
"News Feeds", "News Feeds"
"News Information", "News Information"
"News Per Page Allowed Values", "News Per Page Allowed Values"
"News Per Page Default Value", "News Per Page Default Value"
"News Settings", "News Settings"
"News Site Map", "News Site Map"
"News Suffix", "News Suffix"
"News Tagged", "News Tagged"
"News Tags", "News Tags"
"News Thumb Size (w-h)px", "News Thumb Size (w-h)px"
"Next", "Next"
"No file selected", "No file selected"
"No limit", "No limit"
"No require", "No require"
"No, hide it", "No, hide it"
"Not found any results", "Not found any results"
"Not found news", "Not found news"
"Number of 'next' news articles", "Number of 'next' news articles"
"Number of 'previous' news articles", "Number of 'previous' news articles"
"Number of Latest News", "Number of Latest News"
"Number of Related News", "Number of Related News"
"Number of Related Products", "Number of Related Products"
"Older News", "Older News"
"Order of Category", "Order of Category"
"Order", "Order"
"Page Layout", "Page Layout"
"Page Title", "Page Title"
"Parent Category", "Parent Category"
"Photo Background Color", "Photo Background Color"
"Popularity", "Popularity"
"Previous", "Previous"
"Private key of reCAPCHA", "Private key of reCAPCHA"
"Public key of reCAPCHA", "Public key of reCAPCHA"
"Published at", "Published at"
"Reindex Categories", "Reindex Categories"
"Reindex News", "Reindex News"
"Related News Settings", "Related News Settings"
"Related News", "Related News"
"Related Product Settings", "Related Product Settings"
"Related Products", "Related Products"
"Return to ", "Return to "
"Revisions", "Revisions"
"Save Tag", "Save Tag"
"Search News", "Search News"
"Search results for ", "Search results for "
"Searching box allows inputing data to search news.", "Searching box allows inputing data to search news."
"See More", "See More"
"Show Menu on Sidebar", "Show Menu on Sidebar"
"Show Root Category Top Menu", "Show Root Category Top Menu"
"Show image/summary in news detail", "Show image/summary in news detail"
"Sidebar Menu Style", "Sidebar Menu Style"
"Status", "Status"
"Store View", "Store View"
"Submit", "Submit"
"Summary", "Summary"
"Tag Name", "Tag Name"
"Tag", "Tag"
"Telephone", "Telephone"
"There are no %s available.", "There are no %s available."
"There are no tags available.", "There are no tags available."
"There is no news in this category", "There is no news in this category"
"This page no longer exists", "This page no longer exists"
"Title of Index page (browser tab)", "Title of Index page (browser tab)"
"Title", "Title"
"Top Menu", "Top Menu"
"Type", "Type"
"URL Key", "URL Key"
"Use default design", "Use default design"
"User Restriction", "User Restriction"
"View All Tags", "View All Tags"
"When viewing a specific news,this block will show news's related product.", "When viewing a specific news,this block will show news's related product."
"When viewing a specific product,this block will show product's related news.", "When viewing a specific product,this block will show product's related news."
"Will display on 1<sup>st</sup> page of CMS Pro", "Will display on 1<sup>st</sup> page of CMS Pro"
"Yes, Accordion", "Yes, Accordion"
"Yes, Drop down", "Yes, Drop down"
"Yes, show it on the left", "Yes, show it on the left"
"Yes, show it on the right", "Yes, show it on the right"
"You can not delete root category!", "You can not delete root category!"
"published at", "published at"